what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1543355784965
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1543355784981
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1543355784997
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1543355784997
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1543355785012
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1543355785028
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1543355785044
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1543355785059
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1543355785075
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1543355785090
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1543355785106
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1543355785137
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1543355785153
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1543355785169
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1543355785200
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1543355785215
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1543355785215
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1543355785215
os,sysinfo,,,"win32",1543355785247
arch,sysinfo,,,"x86_64",1543355785247
ws,sysinfo,,,"win32",1543355785247
locale,sysinfo,,,"en_US",1543355785247
processors,sysinfo,,,"2",1543355785247
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1543355785247
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1543355785247
java.specification.name,sysinfo,,,"Java Platform API Specification",1543355785247
java.specification.vendor,sysinfo,,,"Oracle Corporation",1543355785247
java.specification.version,sysinfo,,,"1.7",1543355785247
java.vendor,sysinfo,,,"Oracle Corporation",1543355785247
java.version,sysinfo,,,"1.7.0_13",1543355785247
java.vm.info,sysinfo,,,"mixed mode",1543355785247
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1543355785247
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1543355785247
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1543355785247
java.vm.specification.version,sysinfo,,,"1.7",1543355785247
java.vm.vendor,sysinfo,,,"Oracle Corporation",1543355785247
java.vm.version,sysinfo,,,"23.7-b01",1543355785247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543355788762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543355791122
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1543355791950
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1543355794200
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1543355794231
stopped,bundle,org.eclipse.m2e.discovery,1.2.0.20120903-1050,"org.eclipse.m2e.discovery",1543355795934
stopped,bundle,org.eclipse.m2e.editor,1.2.0.20120903-1050,"org.eclipse.m2e.editor",1543355795981
stopped,bundle,org.eclipse.m2e.editor.xml,1.2.0.20120903-1050,"org.eclipse.m2e.editor.xml",1543355796012
stopped,bundle,org.eclipse.m2e.wtp,0.16.0.20120914-0945,"org.eclipse.m2e.wtp",1543355796028
stopped,bundle,org.eclipse.m2e.jdt,1.2.0.20120903-1050,"org.eclipse.m2e.jdt",1543355796200
